Date,Close,Position
2023-06-16,182.70220947265625,0
2023-06-20,182.7911376953125,0
2023-06-21,181.7537384033203,0
2023-06-22,184.7572784423828,0
2023-06-23,184.44113159179688,0
2023-06-26,183.0480194091797,0
2023-06-27,185.80458068847656,0
2023-06-28,186.98031616210935,0
2023-06-29,187.3162078857422,0
2023-06-30,191.6436767578125,0
2023-07-03,190.15179443359372,0
2023-07-05,189.0353546142578,0
2023-07-06,189.50958251953125,0
2023-07-07,188.3931427001953,0
2023-07-10,186.34799194335935,0
2023-07-11,185.8243103027344,0
2023-07-12,187.4940490722656,0
2023-07-13,188.2548370361328,0
2023-07-14,188.40301513671875,0
2023-07-17,191.6634521484375,0
2023-07-18,191.40655517578125,0
2023-07-19,192.76011657714844,0
2023-07-20,190.8137664794922,0
2023-07-21,189.63804626464844,0
2023-07-24,190.4383087158203,0
2023-07-25,191.2978973388672,0
2023-07-26,192.1673126220703,0
2023-07-27,190.90269470214844,0
2023-07-28,193.4813690185547,0
2023-07-31,194.09393310546875,0
2023-08-01,193.26402282714844,0
2023-08-02,190.27035522460935,0
2023-08-03,188.8772430419922,0
2023-08-04,179.80735778808594,0
2023-08-07,176.70501708984375,0
2023-08-08,177.6436309814453,0
2023-08-09,176.05294799804688,0
2023-08-10,175.83554077148438,0
2023-08-11,175.89492797851562,0
2023-08-14,177.54714965820312,0
2023-08-15,175.5585479736328,0
2023-08-16,174.6879425048828,-2
2023-08-17,172.1453399658203,0
2023-08-18,172.63014221191406,0
2023-08-21,173.96572875976562,0
2023-08-22,175.3408966064453,0
2023-08-23,179.18943786621094,0
2023-08-24,174.49998474121094,0
2023-08-25,176.70619201660156,0
2023-08-28,178.26934814453125,0
2023-08-29,182.15745544433597,0
2023-08-30,185.64984130859372,0
2023-08-31,185.8674774169922,0
2023-09-01,187.4405517578125,0
2023-09-05,187.677978515625,0
2023-09-06,180.96038818359372,0
2023-09-07,175.6674041748047,0
2023-09-08,176.28077697753906,0
2023-09-11,177.4481964111328,0
2023-09-12,174.42080688476562,0
2023-09-13,172.35311889648438,0
